url_path,views_total,views_unique
/sysbio-curie/MaBoSS/actions,131,1
/sysbio-curie/MaBoSS/actions/caches,34,1
/sysbio-curie/MaBoSS/actions/runs/8615653936,14,1
/sysbio-curie/MaBoSS,10,6
/sysbio-curie/MaBoSS/actions/runs/8645733018,10,1
/sysbio-curie/MaBoSS/blob/master/tutorial/MaBoSS-2.0/ExampleProfile.txt,8,1
/sysbio-curie/MaBoSS/actions/runs/8609455523,7,1
/sysbio-curie/MaBoSS/tree/master/tutorial/MaBoSS-2.0,6,2
/sysbio-curie/MaBoSS/actions/runs/8609455524,6,1
/sysbio-curie/MaBoSS/actions/runs/8615653926,6,1
