url_path,views_total,views_unique
/sysbio-curie/MaBoSS/actions,80,1
/sysbio-curie/MaBoSS,15,5
/sysbio-curie/MaBoSS/commits/update/popmaboss,5,1
/sysbio-curie/MaBoSS/tree/master/tutorial/MaBoSS-2.0,4,2
/sysbio-curie/MaBoSS/actions/runs/10232438308,4,1
/sysbio-curie/MaBoSS/tree/github-repo-stats/sysbio-curie,4,1
/sysbio-curie/MaBoSS/actions/runs/10232372139,3,1
/sysbio-curie/MaBoSS/actions/runs/10393746173/job/28781930817,3,1
/sysbio-curie/MaBoSS/actions/runs/10224275006,2,1
/sysbio-curie/MaBoSS/actions/runs/10224515625/job/28292340111,2,1
