url_path,views_total,views_unique
/sysbio-curie/MaBoSS/actions,269,1
/sysbio-curie/MaBoSS,30,6
/sysbio-curie/MaBoSS/actions/caches,28,1
/sysbio-curie/MaBoSS/actions/runs/14753725949,8,1
/sysbio-curie/MaBoSS/actions/runs/14764410375/job/41452971746,6,1
/sysbio-curie/MaBoSS/actions/workflows/maboss-windows.yml,6,1
/sysbio-curie/MaBoSS/actions/runs/14745329550/job/41391469638,5,1
/sysbio-curie/MaBoSS/actions/runs/14838512219,5,1
/sysbio-curie/MaBoSS/actions/runs/14841852111,5,1
/sysbio-curie/MaBoSS/actions/runs/14841852135,5,1
