time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-01 00:00:00+00:00,120.0,2.0,32.0,3.0
2024-10-02 00:00:00+00:00,346.0,2.0,69.0,6.0
2024-10-03 00:00:00+00:00,31.0,2.0,12.0,1.0
2024-10-04 00:00:00+00:00,155.0,2.0,17.0,1.0
2024-10-05 00:00:00+00:00,3.0,1.0,1.0,1.0
2024-10-06 00:00:00+00:00,2.0,1.0,,
2024-10-07 00:00:00+00:00,,,8.0,3.0
2024-10-08 00:00:00+00:00,1.0,1.0,16.0,4.0
2024-10-09 00:00:00+00:00,2.0,1.0,5.0,3.0
2024-10-10 00:00:00+00:00,,,3.0,2.0
2024-10-11 00:00:00+00:00,2.0,2.0,2.0,2.0
2024-10-13 00:00:00+00:00,2.0,1.0,,
2024-10-14 00:00:00+00:00,,,1.0,1.0
