url_path,views_total,views_unique
/sysbio-curie/MaBoSS/actions,90,1
/sysbio-curie/MaBoSS,31,12
/sysbio-curie/MaBoSS/tree/master/tutorial/MaBoSS-2.0,6,4
/sysbio-curie/MaBoSS/releases/tag/v2.6.0,5,2
/sysbio-curie/MaBoSS/releases,5,1
/sysbio-curie/MaBoSS/blob/master/tutorial/MaBoSS-2.0/Example.pmbss,3,3
/sysbio-curie/MaBoSS/blob/master/tutorial/MaBoSS-2.0/ExampleProfile.txt,3,3
/sysbio-curie/MaBoSS/blob/master/tutorial/MaBoSS-2.0/TutorialMaBoSS_2_0.pdf,3,2
/sysbio-curie/MaBoSS/actions/runs/11000319946,3,1
/sysbio-curie/MaBoSS/actions/runs/11012461247,3,1
