url_path,views_total,views_unique
/sysbio-curie/MaBoSS/actions,25,1
/sysbio-curie/MaBoSS,5,2
/sysbio-curie/MaBoSS/actions/runs/34841681621/job/103967894148,3,1
/sysbio-curie/MaBoSS/actions/runs/34841681621,2,1
/sysbio-curie/MaBoSS/actions/runs/34849813126,2,1
/sysbio-curie/MaBoSS/actions/runs/34849813126/job/103994603658,2,1
/sysbio-curie/MaBoSS/actions/runs/34839293156,1,1
/sysbio-curie/MaBoSS/actions/runs/34839293156/job/103960256293,1,1
/sysbio-curie/MaBoSS/actions/runs/34839293191,1,1
/sysbio-curie/MaBoSS/actions/runs/34839293191/job/103960256291,1,1
