url_path,views_total,views_unique
/sysbio-curie/MaBoSS/actions,30,1
/sysbio-curie/MaBoSS,2,2
/sysbio-curie/MaBoSS/actions/runs/10078314511,2,1
/sysbio-curie/MaBoSS/actions/runs/10078314511/job/27862945149,2,1
/sysbio-curie/MaBoSS/actions/runs/10078314514,2,1
/sysbio-curie/MaBoSS/actions/runs/10078851696,2,1
/sysbio-curie/MaBoSS/actions/runs/10078851696/job/27864748144,2,1
/sysbio-curie/MaBoSS/actions/runs/10083672952,2,1
/sysbio-curie/MaBoSS/actions/runs/10083672981,2,1
/sysbio-curie/MaBoSS/actions/runs/10078314514/job/27863137341,1,1
