time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-06 00:00:00+00:00,105,6,1.0,1.0
2025-11-07 00:00:00+00:00,319,5,72.0,6.0
2025-11-08 00:00:00+00:00,13,7,1.0,1.0
2025-11-09 00:00:00+00:00,15,6,,
2025-11-10 00:00:00+00:00,5,5,8.0,5.0
2025-11-11 00:00:00+00:00,21,5,4.0,1.0
2025-11-12 00:00:00+00:00,11,6,7.0,2.0
2025-11-13 00:00:00+00:00,3,3,3.0,2.0
2025-11-14 00:00:00+00:00,6,4,3.0,1.0
2025-11-15 00:00:00+00:00,3,3,,
2025-11-16 00:00:00+00:00,4,4,,
2025-11-17 00:00:00+00:00,105,7,12.0,1.0
2025-11-18 00:00:00+00:00,3,3,25.0,2.0
2025-11-19 00:00:00+00:00,165,7,40.0,2.0
