url_path,views_total,views_unique
/sysbio-curie/MaBoSS/actions,249,1
/sysbio-curie/MaBoSS/actions/caches,61,1
/sysbio-curie/MaBoSS,28,6
/sysbio-curie/MaBoSS/actions/workflows/maboss-macos.yml,12,1
/sysbio-curie/MaBoSS/actions/runs/14108826439,7,1
/sysbio-curie/MaBoSS/tree/development,7,1
/sysbio-curie/MaBoSS/actions/runs/14111023419,6,1
/sysbio-curie/MaBoSS/actions/runs/14121062462,6,1
/sysbio-curie/MaBoSS/actions/runs/14198605396/job/39779742146,6,1
/sysbio-curie/MaBoSS/actions/workflows/maboss-ubuntu.yml,6,1
