url_path,views_total,views_unique
/sysbio-curie/MaBoSS/actions,159,1
/sysbio-curie/MaBoSS,29,5
/sysbio-curie/MaBoSS/commits/master,6,1
/sysbio-curie/MaBoSS/actions/runs/10181672064,5,1
/sysbio-curie/MaBoSS/actions/runs/10186122952,5,1
/sysbio-curie/MaBoSS/commits/update/popmaboss,5,1
/sysbio-curie/MaBoSS/tree/master/tutorial/MaBoSS-2.0,4,2
/sysbio-curie/MaBoSS/actions/runs/10179818635/job/28156787523,4,1
/sysbio-curie/MaBoSS/actions/runs/10179818635/job/28156788807,4,1
/sysbio-curie/MaBoSS/actions/runs/10180747836/job/28159738878,4,1
