url_path,views_total,views_unique
/sysbio-curie/MaBoSS/actions,16,5
/sysbio-curie/MaBoSS,7,2
/sysbio-curie/MaBoSS/releases/tag/v2.6.5.3,5,1
/sysbio-curie/MaBoSS/actions/runs/20357541769,3,1
/sysbio-curie/MaBoSS/actions/runs/20357541769/job/58496338795,2,1
/sysbio-curie/MaBoSS/actions/runs/20382861405,2,1
/sysbio-curie/MaBoSS/actions/runs/20385770871,2,1
/sysbio-curie/MaBoSS/actions/runs/20385770871/job/58586234358,2,1
/sysbio-curie/MaBoSS/actions/runs/20357541780,1,1
/sysbio-curie/MaBoSS/actions/runs/20382861402,1,1
