time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-30 00:00:00+00:00,156.0,2.0,34.0,1.0
2024-08-31 00:00:00+00:00,294.0,5.0,54.0,1.0
2024-09-01 00:00:00+00:00,667.0,6.0,224.0,1.0
2024-09-02 00:00:00+00:00,216.0,4.0,66.0,1.0
2024-09-03 00:00:00+00:00,182.0,2.0,111.0,2.0
2024-09-04 00:00:00+00:00,69.0,1.0,10.0,2.0
2024-09-05 00:00:00+00:00,186.0,4.0,17.0,1.0
2024-09-06 00:00:00+00:00,324.0,6.0,77.0,1.0
2024-09-07 00:00:00+00:00,64.0,3.0,23.0,1.0
2024-09-08 00:00:00+00:00,3.0,1.0,,
2024-09-10 00:00:00+00:00,,,19.0,1.0
2024-09-11 00:00:00+00:00,,,8.0,3.0
2024-09-12 00:00:00+00:00,244.0,2.0,64.0,5.0
