time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-07 00:00:00+00:00,1766,9,514.0,2.0
2025-03-08 00:00:00+00:00,78,3,3.0,1.0
2025-03-09 00:00:00+00:00,152,4,10.0,1.0
2025-03-10 00:00:00+00:00,5,3,,
2025-03-11 00:00:00+00:00,2,2,,
2025-03-12 00:00:00+00:00,1,1,2.0,2.0
2025-03-13 00:00:00+00:00,163,5,6.0,2.0
2025-03-14 00:00:00+00:00,6,3,3.0,2.0
2025-03-15 00:00:00+00:00,4,2,,
2025-03-16 00:00:00+00:00,5,2,,
2025-03-17 00:00:00+00:00,152,2,55.0,3.0
2025-03-18 00:00:00+00:00,268,7,38.0,3.0
2025-03-19 00:00:00+00:00,433,5,77.0,1.0
2025-03-20 00:00:00+00:00,529,4,103.0,2.0
