url_path,views_total,views_unique
/sysbio-curie/MaBoSS-env-2.0/tree/master,26,3
/sysbio-curie/MaBoSS-env-2.0/actions,18,1
/sysbio-curie/MaBoSS-env-2.0/actions/runs/7629973066,9,1
/sysbio-curie/MaBoSS-env-2.0,8,4
/sysbio-curie/MaBoSS-env-2.0/releases/tag/v2.5.4,5,2
/sysbio-curie/MaBoSS-env-2.0/actions/runs/7629973066/job/20784621592,5,1
/sysbio-curie/MaBoSS-env-2.0/actions/runs/7629460916,4,1
/sysbio-curie/MaBoSS-env-2.0/blob/master/engine/src/RandomGenerator.h,4,1
/sysbio-curie/MaBoSS-env-2.0/releases,4,1
/sysbio-curie/MaBoSS-env-2.0/tree/development,3,1
