time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-02 00:00:00+00:00,49,2,62.0,1.0
2023-12-03 00:00:00+00:00,93,2,7.0,1.0
2023-12-04 00:00:00+00:00,384,3,156.0,1.0
2023-12-05 00:00:00+00:00,691,3,346.0,3.0
2023-12-06 00:00:00+00:00,241,2,84.0,2.0
2023-12-07 00:00:00+00:00,1,1,,
2023-12-08 00:00:00+00:00,1,1,,
2023-12-09 00:00:00+00:00,2,2,,
2023-12-10 00:00:00+00:00,1,1,,
2023-12-11 00:00:00+00:00,1,1,,
2023-12-12 00:00:00+00:00,1,1,,
2023-12-13 00:00:00+00:00,2,2,,
2023-12-14 00:00:00+00:00,1,1,,
