time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-21 00:00:00+00:00,1.0,1.0,31.0,2.0
2023-08-22 00:00:00+00:00,1.0,1.0,2.0,1.0
2023-08-23 00:00:00+00:00,35.0,3.0,29.0,2.0
2023-08-24 00:00:00+00:00,64.0,4.0,30.0,1.0
2023-08-25 00:00:00+00:00,49.0,2.0,23.0,1.0
2023-08-26 00:00:00+00:00,1.0,1.0,,
2023-08-27 00:00:00+00:00,1.0,1.0,,
2023-08-28 00:00:00+00:00,105.0,4.0,81.0,1.0
2023-08-29 00:00:00+00:00,2.0,2.0,,
2023-08-30 00:00:00+00:00,2.0,2.0,,
2023-08-31 00:00:00+00:00,317.0,4.0,269.0,1.0
2023-09-01 00:00:00+00:00,119.0,2.0,35.0,2.0
2023-09-02 00:00:00+00:00,1.0,1.0,,
2023-09-03 00:00:00+00:00,,,2.0,1.0
