url_path,views_total,views_unique
/sysbio-curie/MaBoSS-env-2.0,59,8
/sysbio-curie/MaBoSS-env-2.0/actions,38,1
/sysbio-curie/MaBoSS-env-2.0/commits/master,12,1
/sysbio-curie/MaBoSS-env-2.0/releases/tag/v2.5.3,8,6
/sysbio-curie/MaBoSS-env-2.0/tree/master/tutorial/MaBoSS-2.0,5,2
/sysbio-curie/MaBoSS-env-2.0/actions/runs/6074587263,5,1
/sysbio-curie/MaBoSS-env-2.0/edit/master/README.md,4,2
/sysbio-curie/MaBoSS-env-2.0/tree/master/scripts,4,2
/sysbio-curie/MaBoSS-env-2.0/actions/runs/6051041225,4,1
/sysbio-curie/MaBoSS-env-2.0/actions/runs/6074587265,4,1
