time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-05 00:00:00+00:00,3,3,34,2
2024-02-06 00:00:00+00:00,1,1,6,2
2024-02-07 00:00:00+00:00,1,1,18,2
2024-02-08 00:00:00+00:00,1,1,45,7
2024-02-09 00:00:00+00:00,2,2,10,1
2024-02-10 00:00:00+00:00,1,1,1,1
2024-02-11 00:00:00+00:00,1,1,3,1
2024-02-12 00:00:00+00:00,2,2,28,2
2024-02-13 00:00:00+00:00,2,2,14,2
2024-02-14 00:00:00+00:00,136,3,20,2
2024-02-15 00:00:00+00:00,401,2,199,4
2024-02-16 00:00:00+00:00,580,2,189,2
2024-02-17 00:00:00+00:00,32,2,1,1
